experiment,page,sound,metric,score,subjective_median,fitted_score
interferer,vocals-30-SIR,RAF1,IPS,61.53363734541645,16.163265306122447,13.761853357011432
interferer,vocals-41-SIR,DUR,IPS,49.38728840411329,37.0,43.893794405941016
interferer,vocals-41-SIR,HUA,IPS,28.90986949062797,10.227272727272727,21.492245182919888
interferer,vocals-41-SIR,NUG1,IPS,61.45619265689705,61.0,57.09673535415878
interferer,vocals-41-SIR,RAF3,IPS,15.41808708510077,16.0,6.732727445815282
interferer,vocals-41-SIR,UHL1,IPS,56.80798918888289,57.0,52.01177033843777
interferer,vocals-42-SAR,CHA,IPS,44.46443234067587,25.58139534883721,36.26616219403636
interferer,vocals-42-SAR,KAM2,IPS,62.35541282274357,65.33333333333333,70.34876504780965
interferer,vocals-42-SAR,KON,IPS,42.48816184244824,37.0,32.50133540937619
interferer,vocals-42-SAR,NUG3,IPS,70.72941432870363,85.07462686567165,86.30137132953934
interferer,vocals-42-SAR,UHL3,IPS,54.99219698469454,68.75,56.321721567080594
interferer,vocals-45-SIR,HUA,IPS,35.16252991147961,17.0,25.692251077432047
interferer,vocals-45-SIR,KAM2,IPS,66.78329699376593,79.0,69.42839277619221
interferer,vocals-45-SIR,RAF2,IPS,28.171601715176568,24.0,16.02277577964113
interferer,vocals-45-SIR,STO1,IPS,62.55212734422272,54.0,63.57606683917908
interferer,vocals-45-SIR,UHL1,IPS,56.554530187796495,56.0,55.2805135275555
interferer,vocals-47-SAR,GRA3,IPS,27.72586237224377,28.351940457203618,21.28899656732066
interferer,vocals-47-SAR,KAM1,IPS,51.63157695754956,67.1086956521739,51.24123197282115
interferer,vocals-47-SAR,OZE,IPS,25.7571948852883,11.75,18.822390024603457
interferer,vocals-47-SAR,RAF1,IPS,31.674893317758464,24.0,26.2368639101512
interferer,vocals-47-SAR,STO1,IPS,55.94761272623799,43.027777777777786,56.648931412258854
interferer,vocals-48-SAR,HUA,IPS,25.40579821471354,13.321839080459771,15.872650489221321
interferer,vocals-48-SAR,JEO1,IPS,50.618394098984034,43.611111111111114,42.568218917947426
interferer,vocals-48-SAR,KAM2,IPS,54.97202793391141,37.0,47.177927909730755
interferer,vocals-48-SAR,NUG3,IPS,64.902488475902,64.5,57.69248540092757
interferer,vocals-48-SAR,RAF3,IPS,26.58543072815607,22.0,17.121667473743795
interferer,vocals-49-SIR,HUA,IPS,35.07196970217928,20.0,21.05989216050824
interferer,vocals-49-SIR,JEO2,IPS,40.66006787310464,35.0,29.879056779772093
interferer,vocals-49-SIR,KAM1,IPS,70.31879453034,83.0,76.68660825566076
interferer,vocals-49-SIR,NUG2,IPS,69.67035515378771,75.86206896551724,75.66323797251476
interferer,vocals-49-SIR,STO2,IPS,59.47525127935626,49.0,59.573273797061354
quality,vocals-10-SIR,HUA,ISR,12.137072136999835,67.04545454545455,52.527786707887
quality,vocals-10-SIR,KAM1,ISR,6.859448026636593,0.0,-4.277883293344715
quality,vocals-10-SIR,KON,ISR,11.071070402532824,26.0,41.05388453475442
quality,vocals-10-SIR,NUG2,ISR,11.664031456650546,39.0,47.436216671227
quality,vocals-10-SIR,RAF2,ISR,12.677894850876909,63.04347826086956,58.348928185800446
quality,vocals-11-SAR,GRA3,ISR,-4.258535769730912,49.0,40.3231543145958
quality,vocals-11-SAR,HUA,ISR,6.038846642045769,49.0,34.02106801945695
quality,vocals-11-SAR,KAM1,ISR,4.988641506618701,0.0,34.66380256367375
quality,vocals-11-SAR,RAF2,ISR,7.756351609811753,61.0,32.96994025840458
quality,vocals-11-SAR,STO1,ISR,5.756687201305107,17.171717171717173,34.193752015586114
quality,vocals-12-SAR,DUR,ISR,11.318631220306148,18.0,12.7938531621297
quality,vocals-12-SAR,GRA2,ISR,-4.991111887413276,1.5,26.555952919762476
quality,vocals-12-SAR,GRA3,ISR,-5.293966324744246,51.844086021505376,26.811500352426687
quality,vocals-12-SAR,KAM2,ISR,9.922310130914154,8.5,13.972063634175946
quality,vocals-12-SAR,KON,ISR,9.795415310134901,14.368421052631579,14.079137005642139
quality,vocals-18-SIR,GRA3,ISR,-5.273563392155509,27.125,34.101967499643244
quality,vocals-18-SIR,HUA,ISR,5.34173806731599,48.36363636363636,29.950451105479686
quality,vocals-18-SIR,NUG1,ISR,11.980096280156,24.621212121212118,27.35426925834563
quality,vocals-18-SIR,OZE,ISR,11.508391140989403,19.981060606060606,27.538747450127367
quality,vocals-18-SIR,UHL1,ISR,13.47284361232351,25.625,26.770473777313114
quality,vocals-19-SIR,GRA3,ISR,-5.608947003625191,36.95652173913044,30.808186520034656
quality,vocals-19-SIR,HUA,ISR,12.329510797372219,59.78260869565217,18.81854036989327
quality,vocals-19-SIR,KAM1,ISR,9.832415600290286,3.0,20.487540467246415
quality,vocals-19-SIR,KAM2,ISR,12.114942669123193,10.227272727272727,18.961952694483458
quality,vocals-19-SIR,KON,ISR,9.229996815565476,0.0,20.890183110397547
quality,vocals-20-SAR,CHA,ISR,10.363407403731378,66.66666666666667,48.18019806933
quality,vocals-20-SAR,DUR,ISR,11.131770041525392,47.95918367346939,48.77046472584151
quality,vocals-20-SAR,HUA,ISR,9.134174176660078,74.0,47.23588434124534
quality,vocals-20-SAR,KAM2,ISR,9.54090671073207,35.0,47.548341820529345
quality,vocals-20-SAR,KON,ISR,9.635875919554618,15.730337078651687,47.62129846184153
quality,vocals-24-SAR,GRA3,ISR,-5.4279375245989385,43.0,45.17405011826244
quality,vocals-24-SAR,HUA,ISR,8.630151978261058,73.5632183908046,41.51995516846682
quality,vocals-24-SAR,KAM1,ISR,9.467815008175887,17.708333333333332,41.302222862336635
quality,vocals-24-SAR,RAF2,ISR,10.071839535653057,65.0,41.14521980904422
quality,vocals-24-SAR,STO2,ISR,10.129994205570984,11.0,41.13010376602779
quality,vocals-25-SAR,GRA2,ISR,-5.410667284947205,3.0,1.33793437920286
quality,vocals-25-SAR,HUA,ISR,14.710566470484546,73.94733855408012,59.301125867193555
quality,vocals-25-SAR,KON,ISR,15.156272719081473,23.0,60.585070825481395
quality,vocals-25-SAR,RAF1,ISR,16.98198529599531,85.0,65.84439681830837
quality,vocals-25-SAR,RAF3,ISR,17.86177697259054,70.5,68.37881066389392
quality,vocals-26-SIR,HUA,ISR,12.354008824399614,76.13636363636364,61.95465309770708
quality,vocals-26-SIR,JEO1,ISR,8.548396435068634,29.0,26.95677766134058
quality,vocals-26-SIR,KAM1,ISR,9.065073884374172,22.0,31.70834223535482
quality,vocals-26-SIR,KON,ISR,6.1251635798534965,6.0,4.671796180333992
quality,vocals-26-SIR,RAF1,ISR,14.378436331479858,72.72727272727273,80.57206718889985
quality,vocals-30-SIR,CHA,ISR,18.73688198120168,58.0,56.62695382286337
quality,vocals-30-SIR,HUA,ISR,16.915116194140566,72.0,54.20646391952518
quality,vocals-30-SIR,JEO2,ISR,11.878976377934706,25.373134328358212,47.51519456783173
quality,vocals-30-SIR,NUG3,ISR,24.84915293249173,47.61904761904761,64.74802527405787
quality,vocals-30-SIR,RAF1,ISR,18.003932457869514,75.75757575757575,55.65312012070343
quality,vocals-41-SIR,DUR,ISR,16.04669397581894,28.5,24.92837419667785
quality,vocals-41-SIR,HUA,ISR,10.171300182484043,83.74746054070948,75.96334087579729
quality,vocals-41-SIR,NUG1,ISR,14.334522997007037,26.424050632911396,39.80066904638582
quality,vocals-41-SIR,RAF3,ISR,10.017383999099687,71.5,77.30029080063615
quality,vocals-41-SIR,UHL1,ISR,14.49449010143515,46.23232323232323,38.411159486447005
quality,vocals-42-SAR,CHA,ISR,13.451341842459366,43.84042553191489,38.53315415909847
quality,vocals-42-SAR,KAM2,ISR,13.269608793908036,11.851063829787233,38.32771622510343
quality,vocals-42-SAR,KON,ISR,-5.609307324357529,19.270114942528735,16.986273079132793
quality,vocals-42-SAR,NUG3,ISR,19.018368500073464,39.0,44.82633233528761
quality,vocals-42-SAR,UHL3,ISR,16.33073417008049,66.5,41.78812850560856
quality,vocals-45-SIR,HUA,ISR,9.308262499434656,60.98550724637681,41.20070754897601
quality,vocals-45-SIR,KAM2,ISR,7.794667946783211,15.142857142857142,17.375068974579847
quality,vocals-45-SIR,RAF2,ISR,9.246916335219646,61.3080808080808,40.235051631443795
quality,vocals-45-SIR,STO1,ISR,9.559849995757032,14.642857142857142,45.160970716357085
quality,vocals-45-SIR,UHL1,ISR,8.618523463556812,22.235955056179776,30.343458524994944
quality,vocals-47-SAR,GRA3,ISR,-4.8291426407807485,51.0,42.280475656081734
quality,vocals-47-SAR,KAM1,ISR,5.871617260841703,8.0,31.50376667944273
quality,vocals-47-SAR,OZE,ISR,4.290683248163512,29.0,33.095921435042825
quality,vocals-47-SAR,RAF1,ISR,9.028520781536145,58.8780487804878,28.324456908676567
quality,vocals-47-SAR,STO1,ISR,6.69610401107507,19.0,30.673428101243935
quality,vocals-48-SAR,HUA,ISR,7.300760744593397,67.3913043478261,34.315764313910094
quality,vocals-48-SAR,JEO1,ISR,8.854132833105805,31.0,48.53859772438932
quality,vocals-48-SAR,KAM2,ISR,7.58463344803457,18.0,36.91493176431322
quality,vocals-48-SAR,NUG3,ISR,4.014921657701864,0.0,4.230286216222417
quality,vocals-48-SAR,RAF3,ISR,9.760366837122213,64.44444444444444,56.836168773435475
quality,vocals-49-SIR,HUA,ISR,14.349405079658085,52.5,37.517990142434016
quality,vocals-49-SIR,JEO2,ISR,15.58394750669957,56.651162790697676,48.09118682186126
quality,vocals-49-SIR,KAM1,ISR,10.988014310402667,16.354166666666664,8.729473084401434
quality,vocals-49-SIR,NUG2,ISR,14.479096075314764,20.826086956521742,38.628724269178406
quality,vocals-49-SIR,STO2,ISR,13.049591538856573,13.021739130434781,26.385781226445687
quality,vocals-10-SIR,HUA,SAR,8.444994471886138,67.04545454545455,50.46180946098302
