,experiment,metric,page,corr,corr_type
92,quality,APS,vocals-45-SIR,0.9999999999999999,spearman
93,quality,APS,vocals-47-SAR,0.8999999999999998,spearman
94,quality,APS,vocals-48-SAR,0.8999999999999998,spearman
95,quality,APS,vocals-49-SIR,0.7,spearman
96,quality,IPS,vocals-10-SIR,-0.39999999999999997,spearman
97,quality,IPS,vocals-11-SAR,-0.8999999999999998,spearman
98,quality,IPS,vocals-12-SAR,-0.8999999999999998,spearman
99,quality,IPS,vocals-18-SIR,-0.39999999999999997,spearman
100,quality,IPS,vocals-19-SIR,-0.7,spearman
101,quality,IPS,vocals-20-SAR,-0.7,spearman
102,quality,IPS,vocals-24-SAR,-0.6,spearman
103,quality,IPS,vocals-25-SAR,-0.7,spearman
104,quality,IPS,vocals-26-SIR,-0.8999999999999998,spearman
105,quality,IPS,vocals-30-SIR,-0.8999999999999998,spearman
106,quality,IPS,vocals-41-SIR,-0.7999999999999999,spearman
107,quality,IPS,vocals-42-SAR,-0.09999999999999999,spearman
108,quality,IPS,vocals-45-SIR,-0.8999999999999998,spearman
109,quality,IPS,vocals-47-SAR,-0.49999999999999994,spearman
110,quality,IPS,vocals-48-SAR,-0.9999999999999999,spearman
111,quality,IPS,vocals-49-SIR,-0.6,spearman
112,quality,SAR,vocals-10-SIR,0.49999999999999994,spearman
113,quality,SAR,vocals-11-SAR,0.6,spearman
114,quality,SAR,vocals-12-SAR,0.6,spearman
115,quality,SAR,vocals-18-SIR,0.8999999999999998,spearman
116,quality,SAR,vocals-19-SIR,0.9999999999999999,spearman
117,quality,SAR,vocals-20-SAR,0.8999999999999998,spearman
118,quality,SAR,vocals-24-SAR,0.7999999999999999,spearman
119,quality,SAR,vocals-25-SAR,0.49999999999999994,spearman
120,quality,SAR,vocals-26-SIR,0.9999999999999999,spearman
121,quality,SAR,vocals-30-SIR,-0.19999999999999998,spearman
122,quality,SAR,vocals-41-SIR,-0.49999999999999994,spearman
123,quality,SAR,vocals-42-SAR,0.49999999999999994,spearman
124,quality,SAR,vocals-45-SIR,0.19999999999999998,spearman
125,quality,SAR,vocals-47-SAR,0.49999999999999994,spearman
126,quality,SAR,vocals-48-SAR,0.9999999999999999,spearman
127,quality,SAR,vocals-49-SIR,0.9999999999999999,spearman
128,quality,SIR,vocals-10-SIR,-0.8999999999999998,spearman
129,quality,SIR,vocals-11-SAR,-0.7,spearman
130,quality,SIR,vocals-12-SAR,-0.8999999999999998,spearman
131,quality,SIR,vocals-18-SIR,-0.7,spearman
132,quality,SIR,vocals-19-SIR,-0.8999999999999998,spearman
133,quality,SIR,vocals-20-SAR,-0.7,spearman
134,quality,SIR,vocals-24-SAR,-0.9999999999999999,spearman
135,quality,SIR,vocals-25-SAR,-0.8999999999999998,spearman
136,quality,SIR,vocals-26-SIR,-0.8999999999999998,spearman
137,quality,SIR,vocals-30-SIR,-0.8999999999999998,spearman
138,quality,SIR,vocals-41-SIR,-0.7,spearman
139,quality,SIR,vocals-42-SAR,0.09999999999999999,spearman
140,quality,SIR,vocals-45-SIR,-0.6,spearman
141,quality,SIR,vocals-47-SAR,-0.7,spearman
142,quality,SIR,vocals-48-SAR,-0.8999999999999998,spearman
143,quality,SIR,vocals-49-SIR,-0.49999999999999994,spearman
144,quality,TPS,vocals-10-SIR,0.8999999999999998,spearman
145,quality,TPS,vocals-11-SAR,0.7,spearman
146,quality,TPS,vocals-12-SAR,0.7,spearman
147,quality,TPS,vocals-18-SIR,0.49999999999999994,spearman
148,quality,TPS,vocals-19-SIR,0.8999999999999998,spearman
149,quality,TPS,vocals-20-SAR,0.09999999999999999,spearman
150,quality,TPS,vocals-24-SAR,0.9999999999999999,spearman
151,quality,TPS,vocals-25-SAR,0.49999999999999994,spearman
152,quality,TPS,vocals-26-SIR,0.8999999999999998,spearman
153,quality,TPS,vocals-30-SIR,0.0,spearman
154,quality,TPS,vocals-41-SIR,0.8999999999999998,spearman
155,quality,TPS,vocals-42-SAR,0.8999999999999998,spearman
156,quality,TPS,vocals-45-SIR,0.8999999999999998,spearman
157,quality,TPS,vocals-47-SAR,0.49999999999999994,spearman
158,quality,TPS,vocals-48-SAR,0.9999999999999999,spearman
159,quality,TPS,vocals-49-SIR,0.6,spearman
