experiment,page,sound,metric,score,subjective_median,ci95_lo,ci95_hi,fitted_score
quality,vocals-25-SAR,HUA,APS,47.33606143334467,73.94733855408012,70.29383561643836,88.0,54.931934189183956
quality,vocals-25-SAR,KON,APS,28.473960821414824,23.0,13.311688311688311,34.831460674157306,31.273114199122865
quality,vocals-25-SAR,RAF1,APS,54.39961953487996,85.0,81.96929012345679,92.20779220779221,63.79178776815726
quality,vocals-25-SAR,RAF3,APS,53.27797150879877,70.5,59.0,86.01249999999999,62.384899464079496
quality,vocals-26-SIR,HUA,APS,57.329478793716056,76.13636363636364,68.0,85.0,67.4667237801715
quality,vocals-26-SIR,JEO1,APS,38.493707049324996,29.0,21.0,35.0,43.84092821037294
quality,vocals-26-SIR,KAM1,APS,23.38225165227321,22.0,14.0,33.0,24.88655985117954
quality,vocals-26-SIR,KON,APS,5.190404765807754,6.0,0.0,12.5,2.0684422073035975
quality,vocals-26-SIR,RAF1,APS,50.09101707562459,72.72727272727273,58.064516129032256,85.0,58.38748778643704
quality,vocals-30-SIR,CHA,APS,57.45152640103674,58.0,51.68539325842696,72.0,67.61980865821481
quality,vocals-30-SIR,HUA,APS,58.7084623782098,72.0,50.746268656716424,77.8083333333333,69.1963892647333
quality,vocals-30-SIR,JEO2,APS,50.33602009349961,25.373134328358212,18.0,33.0,58.694796204316056
quality,vocals-30-SIR,NUG3,APS,47.60840264081227,47.61904761904761,37.0,59.595959595959606,55.273533024643285
quality,vocals-30-SIR,RAF1,APS,61.96357921956705,75.75757575757575,67.0,80.95238095238095,73.27929736604938
quality,vocals-41-SIR,DUR,APS,32.93226782757051,28.5,24.0,44.83652312599681,36.865189286048924
quality,vocals-41-SIR,HUA,APS,55.3008557425776,83.74746054070948,78.88888888888889,88.0,64.9222125095542
quality,vocals-41-SIR,NUG1,APS,10.603854647365953,26.424050632911396,13.333333333333336,34.84848484848485,8.858557418119405
quality,vocals-41-SIR,RAF3,APS,54.876572049670344,71.5,65.5,84.5,64.39003151223397
quality,vocals-41-SIR,UHL1,APS,25.999057036972683,46.23232323232323,28.0,56.790123456790134,28.168830941731905
quality,vocals-42-SAR,CHA,APS,46.26980163505866,43.84042553191489,34.0,55.0,53.594519595268984
quality,vocals-42-SAR,KAM2,APS,18.935407306307713,11.851063829787233,9.090909090909092,18.94736842105263,19.308862431917678
quality,vocals-42-SAR,KON,APS,25.34044795480959,19.270114942528735,11.0,29.59183673469388,27.34273452546845
quality,vocals-42-SAR,NUG3,APS,25.23023530971933,39.0,27.659574468085108,44.65730337078652,27.204494295259426
quality,vocals-42-SAR,UHL3,APS,49.93679219758974,66.5,58.0,76.8616455075053,58.19404280899334
quality,vocals-45-SIR,HUA,APS,49.7131050719166,60.98550724637681,48.93681285489912,80.0,57.91347101323864
quality,vocals-45-SIR,KAM2,APS,21.372835204846037,15.142857142857142,6.571428571428571,19.0,22.366139512382315
