experiment,page,sound,metric,score,subjective_median,ci95_lo,ci95_hi,fitted_score
quality,vocals-41-SIR,NUG1,APS,10.603854647365953,26.424050632911396,13.333333333333336,34.06417112299465,8.95882009502442
quality,vocals-41-SIR,RAF3,APS,54.876572049670344,75.0,65.9888888888889,84.47530864197532,64.16426971919772
quality,vocals-41-SIR,UHL1,APS,25.999057036972683,46.23232323232323,28.0,56.790123456790134,28.155723285998405
quality,vocals-42-SAR,CHA,APS,46.26980163505866,43.84042553191489,34.0,55.0,53.432138094362344
quality,vocals-42-SAR,KAM2,APS,18.935407306307713,11.851063829787233,9.090909090909092,18.94736842105263,19.347771521358514
quality,vocals-42-SAR,KON,APS,25.34044795480959,19.270114942528735,11.0,29.59183673469388,27.3344768696787
quality,vocals-42-SAR,NUG3,APS,25.23023530971933,39.0,27.659574468085108,44.15730337078652,27.1970482458337
quality,vocals-42-SAR,UHL3,APS,49.93679219758974,66.5,58.0,76.84210526315789,58.004657574758895
quality,vocals-45-SIR,HUA,APS,49.7131050719166,60.98550724637681,50.42359074617139,80.0,57.725733011902
quality,vocals-45-SIR,KAM2,APS,21.372835204846037,15.142857142857142,7.0,19.0,22.387099372924006
quality,vocals-45-SIR,RAF2,APS,51.80854684944492,61.3080808080808,55.0,74.48979591836735,60.338624478186986
quality,vocals-45-SIR,STO1,APS,20.89773084549764,14.642857142857142,11.0,25.77319587628866,21.79467244918456
quality,vocals-45-SIR,UHL1,APS,35.155464391484266,22.235955056179776,15.512866980790143,33.66607512570245,39.57321953667103
quality,vocals-47-SAR,GRA3,APS,38.74214885315753,50.24226804123711,39.0,54.277777777777786,44.0456020779876
quality,vocals-47-SAR,KAM1,APS,20.521975550650765,7.5,4.561855670103093,12.11111111111111,21.326127909390717
quality,vocals-47-SAR,OZE,APS,25.840834304087075,27.0,16.27835051546392,36.0,27.95842893357944
quality,vocals-47-SAR,RAF1,APS,46.88234410899235,60.28713968957871,51.247474747474755,62.5,54.19594218572025
quality,vocals-47-SAR,STO1,APS,31.080568228890492,19.369565217391305,11.5,27.146464646464644,34.492065995007046
quality,vocals-48-SAR,HUA,APS,53.25595433410022,70.0592885375494,54.73684210526316,75.75757575757575,62.143455662451046
quality,vocals-48-SAR,JEO1,APS,38.162867240780976,31.61111111111111,20.0,35.0,43.32327230591449
quality,vocals-48-SAR,KAM2,APS,21.81490125999686,16.922829340987352,10.0,20.689655172413797,22.93832949319025
quality,vocals-48-SAR,NUG3,APS,0.3522826714791642,0.0,0.0,0.0,-3.8242814060808077
quality,vocals-48-SAR,RAF3,APS,56.84143044409032,64.72222222222223,46.73913043478261,77.0,66.61433146097235
quality,vocals-49-SIR,HUA,APS,41.12405318571106,52.5,47.0,66.0,47.01569533983784
quality,vocals-49-SIR,JEO2,APS,43.2595947354876,56.651162790697676,44.409922256270576,66.0,49.678588840935234
quality,vocals-49-SIR,KAM1,APS,23.32228478062761,16.354166666666664,10.0,24.872093023255815,24.817947232853967
quality,vocals-49-SIR,NUG2,APS,19.111348338647453,20.826086956521742,14.0,32.0,19.567159541059127
quality,vocals-49-SIR,STO2,APS,22.75491680716053,13.021739130434781,9.375,17.058139534883722,24.110473061052264
interferer,vocals-10-SIR,HUA,IPS,33.248124619487896,18.5,12.0,22.606060606060606,22.662461346852616
interferer,vocals-10-SIR,KAM1,IPS,71.65556883502555,89.56639566395665,85.66666666666666,97.0,68.59074606946861
interferer,vocals-10-SIR,KON,IPS,26.55120775594088,30.0,22.0,39.39393939393939,14.654172569640888
interferer,vocals-10-SIR,NUG2,IPS,47.26212433559528,60.5,57.534246575342465,73.0,39.42064409528077
interferer,vocals-10-SIR,RAF2,IPS,44.20093520424585,24.195121951219512,18.0,30.303030303030305,35.76002129451871
interferer,vocals-11-SAR,GRA3,IPS,29.7524556655368,32.59997232599973,29.0,36.0,18.4822800749073
interferer,vocals-11-SAR,HUA,IPS,40.301321901750285,14.153061224489797,9.0,17.0,31.09679639832367
interferer,vocals-11-SAR,KAM1,IPS,78.2470617448772,93.0,79.16666666666667,96.51162790697674,76.4729670631868
interferer,vocals-11-SAR,RAF2,IPS,36.000619269057815,26.969696969696972,19.0,31.0,25.953941958097836
interferer,vocals-11-SAR,STO1,IPS,64.81156060591171,61.037356321839084,51.0,70.0,60.406562898449266
interferer,vocals-12-SAR,DUR,IPS,68.78998636577036,51.5,43.0,68.53932584269663,65.16403309149737
interferer,vocals-12-SAR,GRA2,IPS,80.80928151063551,86.33333333333334,75.55555555555556,96.0,79.53691368414044
